NUM_STATES,NUM_OBS,OBS_LEN,SERIAL,PARALLEL
1024,1024,100,3.614497e+03,1.076064e+04
1024,1024,200,7.417543e+03,2.199884e+04
/n/home13/cs205u29/envs/graphlab/bin/python
16,16,100,1.184398e+00,4.674165e+01
16,16,200,2.203435e+00,9.039664e+01
16,16,500,5.810574e+00,2.369288e+02
256,256,100,2.339715e+02,7.370954e+02
256,256,200,4.513224e+02,1.479650e+03
256,256,500,1.037960e+03,3.814177e+03
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
4,4,100,9.985399e-02,3.937805e+01
4,4,200,2.321219e-01,7.686974e+01
4,4,500,5.591290e-01,2.017943e+02
64,64,100,1.617049e+01,9.210885e+01
64,64,200,3.106118e+01,1.837781e+02
64,64,500,7.353666e+01,4.777166e+02
1024,1024,100,3.377328e+03,1.159301e+04
1024,1024,200,7.673650e+03,2.194994e+04
/n/home13/cs205u29/envs/graphlab/bin/python
16,16,100,1.169990e+00,5.056952e+01
16,16,200,3.030780e+00,1.002144e+02
16,16,500,5.592072e+00,3.429231e+02
256,256,100,2.373738e+02,6.978730e+02
256,256,200,4.598730e+02,1.431861e+03
256,256,500,1.146510e+03,4.292037e+03
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
4,4,100,1.164849e-01,4.425093e+01
4,4,200,2.082620e-01,8.584823e+01
4,4,500,6.079550e-01,2.078173e+02
64,64,100,1.647220e+01,9.535406e+01
64,64,200,3.114302e+01,1.928593e+02
64,64,500,8.040920e+01,5.057792e+02
1024,1024,100,3.378986e+03,1.095731e+04
1024,1024,200,6.491212e+03,2.093430e+04
/n/home13/cs205u29/envs/graphlab/bin/python
16,16,100,1.105261e+00,5.073871e+01
16,16,200,2.161784e+00,9.554742e+01
16,16,500,5.654060e+00,2.386778e+02
256,256,100,2.386156e+02,6.895804e+02
256,256,200,4.517714e+02,1.426728e+03
256,256,500,1.049903e+03,3.732074e+03
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
4,4,100,1.098499e-01,3.893116e+01
4,4,200,2.265749e-01,7.555338e+01
4,4,500,5.243392e-01,1.950211e+02
64,64,100,1.571276e+01,8.975954e+01
64,64,200,3.163236e+01,1.823388e+02
64,64,500,7.890950e+01,4.869497e+02
1024,1024,100,3.656379e+03,1.108778e+04
1024,1024,200,6.873694e+03,2.192184e+04
/n/home13/cs205u29/envs/graphlab/bin/python
16,16,100,1.129931e+00,5.630393e+01
16,16,200,2.322356e+00,1.543899e+02
16,16,500,5.810960e+00,3.364613e+02
256,256,100,2.468996e+02,7.446344e+02
256,256,200,4.530871e+02,1.546591e+03
256,256,500,1.121294e+03,3.966729e+03
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
4,4,100,1.100202e-01,4.112799e+01
4,4,200,2.286160e-01,9.347492e+01
4,4,500,6.347311e-01,2.615856e+02
64,64,100,1.618926e+01,1.068030e+02
64,64,200,3.283230e+01,2.593759e+02
64,64,500,7.806148e+01,5.422291e+02
1024,1024,100,3.631649e+03,1.169411e+04
1024,1024,200,7.254105e+03,2.239095e+04
/n/home13/cs205u29/envs/graphlab/bin/python
16,16,100,1.175448e+00,5.176914e+01
16,16,200,2.534259e+00,1.015974e+02
16,16,500,5.510215e+00,2.388226e+02
256,256,100,2.361198e+02,7.351336e+02
256,256,200,4.362705e+02,1.553219e+03
256,256,500,1.068655e+03,3.956340e+03
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
/n/home13/cs205u29/envs/graphlab/bin/python
4,4,100,1.529939e-01,4.411550e+01
4,4,200,2.460868e-01,9.731808e+01
4,4,500,5.631051e-01,2.361113e+02
64,64,100,1.535430e+01,9.742336e+01
64,64,200,3.217689e+01,1.897252e+02
64,64,500,7.907105e+01,5.081514e+02
